Butterfly species name,Host family,Host genus
Acanthopteroctetes unifascia,Rhamnaceae,Ceanothus
Nemophora degeerella,0,0
Agathiphaga queenslandensis,Araucariaceae,Agathis
Alucita desmodactyla,Labiatae,Ballota
Alucita desmodactyla,Labiatae,Stachys
Bombyx mandarina,Moraceae,Morus
Bombyx mori,Moraceae,Morus
Brahmaea hearseyi,0,0
Bucculatrix cristatella,Compositae,Achillea
Pterodecta felderi,0,0
Synemon plana,Gramineae,Danthonia
Telchin licus,0,0
Hemerophila diva,Moraceae,Ficus
Axia margarita,0,0
Hyposmocoma kahamanoa,0,0
Archaeoses polygrapha,Myoporaceae,Myoporum
Culama crepera,0,0
Morpheis pyracmon,Leguminosae (m),Inga
Prionoxystus robiniae,Polyphagous,0
Psychonoctua personalis,Rhizophoraceae,Rhizophora
Catoptria falsella,Musci,0
Catoptria falsella,Musci,Tortula
Chilo suppressalis,Gramineae,Sorghum
Chilo suppressalis,Gramineae,Triticum
Chilo suppressalis,Gramineae,Zea
Chilo suppressalis,Gramineae,Oryza
Chilo suppressalis,Gramineae,Pennisetum
Chilo suppressalis,Gramineae,Andropogon
Chilo suppressalis,Gramineae,0
Chilo suppressalis,Gramineae,Eleusine
Chilo suppressalis,Gramineae,Saccharum
Cnaphalocrocis medinalis,Gramineae,Oryza
Cnaphalocrocis medinalis,Gramineae,0
Cnaphalocrocis medinalis,Gramineae,Echinochloa
Cnaphalocrocis medinalis,Gramineae,Sorghum
Dalcera abrasa,Rubiaceae,Coffea
Antaeotricha schlaegeri,Fagaceae,Quercus
Psilocorsis reflexella,Salicaceae,Populus
Cyclidia substigmaria,Alangiaceae,Alangium
Pseudothyatira cymatophoroides,Rosaceae,Sorbus
Thyatira batis,Rosaceae,Rubus
Tridrepana flava,0,0
Mustilizans dierli,0,0
Epicopeia hainesii,Cornaceae,Bothrocaryum
Amata phegea,Gramineae,0
Eudocima salaminia,Menispermaceae,Stephania
Euproctis chrysorrhoea,Polyphagous,0
Lymantria dispar,Polyphagous,0
Phragmatobia fuliginosa,Araceae,Symplocarpus
Phyllodes eyndhovii,Leguminosae (m),Acacia
Dyseriocrania subpurpurella,0,0
Tuta absoluta,0,0
Biston betularia,Ericaceae,Vaccinium
Ectropis obliqua,Fagaceae,Castanea
Ectropis obliqua,Fagaceae,Quercus
Macaria distribuaria,0,0
Nemoria lixaria,Fagaceae,Quercus
Operophtera brumata,Polyphagous,0
Acrocercops transecta,Juglandaceae,Platycarya
Acrocercops transecta,Juglandaceae,Pterocarya
Caloptilia triadicae,0,0
Cameraria ohridella,Hippocastanaceae,Aesculus
Philodoria splendida,Myrtaceae,Metrosideros
Phyllocnistis citrella,Rutaceae,Murraya
Helicopsyche borealis,0,0
Phymatopus californicus,Compositae,Eriophyllum
Phymatopus californicus,Compositae,Baccharis
Triodia sylvina,Dennstaedtiaceae,Pteridium
Hylephila phyleus,Gramineae,0
Hylephila phyleus,Gramineae,Agrostis
Hylephila phyleus,Gramineae,Axonopus
Hylephila phyleus,Gramineae,Cenchrus
Hylephila phyleus,Gramineae,Cynodon
Hylephila phyleus,Gramineae,Digitaria
Hylephila phyleus,Gramineae,Eragrostis
Hylephila phyleus,Gramineae,Eriochloa
Hylephila phyleus,Gramineae,Panicum
Hylephila phyleus,Gramineae,Paspalum
Hylephila phyleus,Gramineae,Poa
Hylephila phyleus,Gramineae,Saccharum
Hylephila phyleus,Gramineae,Stenotaphrum
