Butterfly species name,Host family,Host genus
Acanthopteroctetes unifascia,Rhamnaceae,Ceanothus thyrsiflorus
﻿Acanthopteroctetes unifascia,Rhamnaceae,Ceanothus thyrsiflorus
Nemophora degeerella,0,0
Agathiphaga queenslandensis,Araucariaceae,Agathis
Agathiphaga queenslandensis,Araucariaceae,Agathis robusta
Alucita desmodactyla,Labiatae,Ballota bullata
Alucita desmodactyla,Labiatae,Stachys alpina
Alucita desmodactyla,Labiatae,Stachys sylvatica
Bombyx mandarina,Moraceae,Morus
Bombyx mori,Moraceae,Morus
Bombyx mori,Moraceae,Morus
Bombyx mori,Moraceae,Morus alba
Bombyx mori,Moraceae,Morus alba
Bombyx mori,Moraceae,Morus nigra
Bombyx mori,Rubiaceae,Morinda citrifolia
Bombyx mori,Moraceae,Morus alba
Bombyx mori,Moraceae,Morus alba
Brahmaea hearseyi,0,0
Bucculatrix cristatella,Compositae,Achillea millefolium
Bucculatrix cristatella,Compositae,Achillea millefolium
Bucculatrix cristatella,Compositae,Achillea millefolium
Pterodecta felderi,0,0
Synemon plana,Gramineae,Danthonia
Telchin licus,0,0
Hemerophila diva,Moraceae,Ficus pedunculata
Hemerophila diva,Moraceae,Ficus
Axia margarita,0,0
Hyposmocoma kahamanoa,0,0
Archaeoses polygrapha,Myoporaceae,Myoporum
Culama crepera,0,0
Morpheis pyracmon,Leguminosae (m),Mimosa caesalpiniifolia
Morpheis pyracmon,Leguminosae (m),Mimosa scabrella
Morpheis pyracmon,Salicaceae,Salix babylonica
Morpheis pyracmon,Leguminosae (c),Senna alata
Morpheis pyracmon,Palmae,Syagrus romanzoffiana
Morpheis pyracmon,Salicaceae,Salix babylonica
Morpheis pyracmon,Leguminosae (m),Inga
Prionoxystus robiniae,Aceraceae,Acer
Prionoxystus robiniae,Fagaceae,Castanea sativa
Prionoxystus robiniae,Ulmaceae,Celtis laevigata
Prionoxystus robiniae,Moraceae,Ficus
Prionoxystus robiniae,Oleaceae,Fraxinus
Prionoxystus robiniae,Salicaceae,Populus
Prionoxystus robiniae,Salicaceae,Populus
Prionoxystus robiniae,Salicaceae,Populus balsamifera
Prionoxystus robiniae,Salicaceae,Populus deltoides
Prionoxystus robiniae,Salicaceae,Populus tremuloides
Prionoxystus robiniae,Rosaceae,Prunus dulcis
Prionoxystus robiniae,Fagaceae,Quercus
Prionoxystus robiniae,Fagaceae,Quercus
Prionoxystus robiniae,Fagaceae,Quercus laevis
Prionoxystus robiniae,Leguminosae (p),Robinia
Prionoxystus robiniae,Leguminosae (p),Robinia pseudoacacia
Prionoxystus robiniae,Leguminosae (p),Robinia pseudoacacia
Prionoxystus robiniae,Salicaceae,Salix
Prionoxystus robiniae,Salicaceae,Salix
Prionoxystus robiniae,Ulmaceae,Ulmus
Prionoxystus robiniae,Compositae,Baccharis halimifolia
Prionoxystus robiniae,Fagaceae,Castanea sativa
Prionoxystus robiniae,Oleaceae,Fraxinus
Prionoxystus robiniae,Salicaceae,Populus
Prionoxystus robiniae,Fagaceae,Quercus
Prionoxystus robiniae,Leguminosae (p),Robinia
Prionoxystus robiniae,Salicaceae,Salix
Prionoxystus robiniae,Ulmaceae,Ulmus
Prionoxystus robiniae,Polyphagous,
Prionoxystus robiniae,Aceraceae,Acer negundo
Prionoxystus robiniae,Oleaceae,Fraxinus pennsylvanica
Prionoxystus robiniae,Salicaceae,Populus tremuloides
Prionoxystus robiniae,Fagaceae,Quercus
Prionoxystus robiniae,Leguminosae (p),Robinia pseudoacacia
Prionoxystus robiniae,Ulmaceae,Ulmus americana
Prionoxystus robiniae,Ulmaceae,Ulmus procera
Prionoxystus robiniae,Polyphagous,
Prionoxystus robiniae,Polyphagous,
Psychonoctua personalis,Euphorbiaceae,Codiaeum variegatum
Psychonoctua personalis,Rutaceae,Citrus medica
Psychonoctua personalis,Rutaceae,Citrus sinensis
Psychonoctua personalis,Combretaceae,Laguncularia racemosa
Psychonoctua personalis,Rubiaceae,Coffea arabica
Psychonoctua personalis,Polygonaceae,Coccoloba swartzii
Psychonoctua personalis,Myrtaceae,Eugenia jambos
Psychonoctua personalis,Rhizophoraceae,Rhizophora mangle
Catoptria falsella,Musci,
Catoptria falsella,Musci,Tortula muralis
Chilo suppressalis,Gramineae,Andropogon sorghum
