"","Genus_num","PD","MPD","MPD.z","MNTD","MNTD.z","Adult.diel.activity..Kawahara.ADA.","Lin.ADA","ADA.Notes","ADA.Source","Superfamily..group.in.Kawahara.2019","Superfamily","Family","Genus","Common.name","Habitat","Mimicry...aposematism","Mimicry..aposematism.source","Distribution","Climate.zone","Adult.active.season","Altitude","Geography.source","feeding.type","Host.range..HR.","HR..loose.","Host.plant.notes","HR.Notes","Host.type","HR.Source"
"Dalcera abrasa",10,1306.749224,242.790547688889,-0.383537718081485,199.5824608,0.419462386635119,0,"nocturnal","This is not in Kawahara et al. 2018a. nocturnalality was used for taxonomic trait. ","Epstein 1996","Zygaenoidea","Zygaenoidea","Dalceridae","Dalcera","Jeweled caterpillar","tropical wet, tropical moist, tropical dry, tropical premontane wet, tropical premontane moist, tropical lower montane moist, subtropical moist, subtropical lower montane moist, warm temperate moist and warm temperate dry forests - wikipedia; 
This species inhabits rainforest and cloudforest at elevations between about 200-1200m. - moths of andes","??","","South America","Tropics (0-25S)","year round.","?","https://en.wikipedia.org/wiki/Dalcera_abrasa","folivore","0","0","Feed on Rubiaceae, Myrtaceae, Ancardiaceae and at least 30 plant families.","generalist","broadleaf tree","https://en.wikipedia.org/wiki/Dalcera_abrasa
Miller 1994"
"Tuta absoluta",2,336.249001,22.3962,-2.12381131755332,22.3962,-2.22440521515857,0,"diurnal","Oviposition during day time. Not in Kawahara et al. 2018a","Tropea et al. 2012","Gelechioidea","Gelechioidea","Gelechiidae","Tuta","Tomato leaf miner","tomato greenhouses and fields","Cryptic grey-brown","Inferred from photo","Originally South American. Invasive globally.","Tropics, Subtropics, Temperate (50N-50S)","?","?","Tropea et al. 2012
http://www.tutaabsoluta.com/","folivore, miner","1","1","feed mainly on tomato, and also other sp of Solanaceae.","specialist","herbaceous","Tropea et al. 2012"
"Lerema accius",10,469.586956,44.4070274,-4.98541939381041,27.3176796,-4.92190695993022,1,"diurnal","diurnal","Geo 1922","Papilionoidea","Papilionoidea","Hesperiidae","Lerema","Clouded skipper","Forest edges and clearings near rivers and swamps.","Cryptic grey-brown","Inferred from photo","North and Central America","Tropics, Subtropics, and Temperate (50N-0N)","year round.","?","Geo 1922","folivore","1","1","feed on many Poaceae species","specialist","grass","Geo 1922"
"Enteucha acetosae",2,333.971102,17.84176,-2.38764683756584,17.84176,-2.67560125666718,0,"nocturnal","adult in the family are usually nocturnal.","Cutler et al. 2012","Nepticuloidea","Nepticuloidea","Nepticulidae","Enteucha","Sorrel pygmy moth","hosts are common in grassland, heath, and disturbed habitats","Cryptic grey-brown","Inferred from photo"," Europe, Sweden to the Pyrenees, Alps and Serbia and from Ireland to Romania","Temperate (70N-40N)","?","?","https://en.wikipedia.org/wiki/Enteucha_acetosae","folivore, miner","1","1"," larvae feed on Rumex acetosa, Rumex alpestris and Rumex acetosella (Polygonaceae).","specialist","herbaceous","Chrachol et al. 2014"
"Pararge aegeria",12,547.697927,54.3920298333333,-5.73132822142951,36.8320345,-4.45276465781039,1,"diurnal","diurnal","Riley 2007","Papilionoidea","Papilionoidea","Nymphalidae","Pararge","Speckled wood","primarily found in woodland, but can be found anywhere there is sufficient scrub to provide the shaded conditions that this butterfly favours which includes gardens and hedgerows.","-","-","Europe, North Africa","Temperate (65N-30N)","June-August","?","Riley 2007
Weingartner et al. 2006","folivore","1","1","feed on grass Poa pratense (Poaceae) ","specialist","grass","Riley 2007"
"Striacosta albicosta",5,616.675402,214.0208232,-0.839144725636142,80.0088176,-2.70392223396061,0,"nocturnal","nocturnal","Farhan 2013","Noctuoidea","Noctuoidea","Noctuidae","Striacosta","Western bean cutworm","-","Cryptic grey-brown","Inferred from photo","North Amerca","Subtropics, Temperate (45N-15N)","July-August","?","Michel et al. 2010","folivore","0","0","polyphagous, maize, soybean, tomato etc.","generalist","herbaceous plant, grass","Michel et al. 2010"
"Bicyclus anynana",2,418.87222,187.642918,-0.707076229995924,187.642918,-0.731807577057919,1,"diurnal","diurnal","Kooi et al. 1996","Papilionoidea","Papilionoidea","Nymphalidae","Bicyclus","African squinting bush brown","woodland areas","Cryptic grey-brown","Inferred from photo","Eastern Africa from southern Sudan to Swaziland","Tropics and Subtropics (10N-25S)","?","?","Brakefield et al. 1998","folivore","0","1","feed on Poaceae and Cyperaceae","generalist ","grass","Kooi et al. 1996"
"Lophocorona astipica",NA,NA,NA,NA,NA,NA,2,"crepuscular","crecrepuscular","Heppner 2002","Lophocoronoidea/Hepialoidea","Lophocoronoidea","Lophocoronidae","Lophocorona","Australian archaic sun moths","-","Cryptic grey-brown","Inferred from photo","Australia","?","?","?","Faucheux 2006","folivore, miner","?","?","larva stage unknown, based on female ovipositor, likely leaf miner","?","?","Powell et al. 1998"
"Attacus atlas",104,6797.978688,238.432093773898,-1.71974050445909,88.4685545192308,-0.530296455262829,0,"nocturnal","nocturnal","Gardiner 1982","Bombycoidae","Bombycoidae","Saturniidae","Attacus","Atlas moth","Their habitat is primarily dry tropical forests, secondary forests, and shrublands","Cryptic grey-brown","Inferred from photo","South Asia, East Asia, and Southeast Asia, including Borneo","Tropics and Subtropics (25N-10S)","May-September","?","Gardiner 1982
https://www.mothsofborneo.com/part-3/saturniidae/saturniidae_6_1.php","folivore","0","0","Feed on a lot of different plant families.","generalist","broadleaf tree","Robinson et al. 2001
https://www.mothsofborneo.com/part-3/saturniidae/saturniidae_6_1.php"
"Stigmella atricapitella",2,336.827369,23.5534,-2.31718707799109,23.5534,-2.72838732413416,0,"diurnal","adult in the genus Stigmella are know to be active during the day.","Fischer et al. 2012","Nepticuloidea","Nepticuloidea","Nepticulidae","Stigmella","?","Where oak is present.","Cryptic grey-brown","Inferred from photo","Europe, Scandinavia to Ireland, the Iberian Peninsula, Sicily, Greece and Ukraine, and Near East.","Temperate and Mediterranean (70N-35N)","May-June, July-August","?","Stonis et al. 2013","folivore, miner","1","1","usually feed on Quercus species (Fagaceae)","specialist","broadleaf tree","Stonis et al. 2013"
