"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"Caloptilia triadicae"	0	NA	NA	NA	NA	NA	NA	199
"Grapholita dimorpha"	2	101.466394	248.711003135678	59.3133589444041	2	-2.48248643739253	0.01	199
"Phoebis sennae"	6	122.079818833333	203.572666156616	41.2687421719292	5	-1.97468696728814	0.025	199
"Megalopyge crispata"	14	104.597174928571	172.843680013999	26.1077880974986	1	-2.61402861209701	0.005	199
"Cyclidia substigmaria"	2	91.2206	258.131648030151	91.9784323950202	4	-1.81467593743408	0.02	199
"Pterodecta felderi"	0	NA	NA	NA	NA	NA	NA	199
"Melitaea cinxia"	7	118.910855142857	199.346768254846	37.2428223252055	5	-2.15976953651953	0.025	199
"Psychonoctua personalis"	7	215.606312	203.557747671931	40.6055719680114	121	0.296721945883699	0.605	199
"Brahmaea hearseyi"	0	NA	NA	NA	NA	NA	NA	199
"Amata phegea"	0	NA	NA	NA	NA	NA	NA	199
"Hyles euphorbiae"	2	35.9462	263.965102778895	106.58297981068	3	-2.13935567558645	0.015	199
"Thymelicus sylvestris"	3	31.7799273333333	236.679777328308	58.5380488698718	1	-3.50028492494618	0.005	199
"Pseudopostega quadristrigella"	2	42.9802	265.409351713568	98.9072546876007	3	-2.24886589377202	0.015	199
"Pheosia gnoma"	2	88.2524	268.286892427136	116.979749352707	6	-1.5390227233631	0.03	199
"Culama crepera"	0	NA	NA	NA	NA	NA	NA	199
"Sphinx pinastri"	4	75.2630075	227.42372975	47.8886142009714	2	-3.17738829550247	0.01	199
"Lactura subfervens"	2	27.2206	265.532015165829	109.361284270523	1	-2.17912048816405	0.005	199
"Sesamia inferens"	24	39.3519154583333	149.027411179229	19.1549268176033	1	-5.72570685157121	0.005	199
"Darapsa myron"	3	148.930553333333	238.404788638191	48.5608493349056	12	-1.84251792401299	0.06	199
"Therinia lactucina"	0	NA	NA	NA	NA	NA	NA	199
"Psilocorsis reflexella"	9	130.094223111111	195.878549816862	37.673448966352	7	-1.74617213211634	0.035	199
"Triodia sylvina"	1	NA	NA	NA	NA	NA	NA	199
"Dendrolimus pini"	6	89.8693566666667	209.386790221943	41.9833657869503	2	-2.84678065502852	0.01	199
"Thyatira batis"	2	168.6108	271.627800371859	115.402601450053	8	-0.89267485375055	0.04	199
"Junonia coenia"	26	58.1517869230769	145.144772537882	19.8383928893591	1	-4.3850823048003	0.005	199
"Helicoverpa zea"	111	72.8206856216216	88.3449185485083	6.3558328316476	4	-2.44251750133938	0.02	199
"Spodoptera exigua"	83	79.7404617831325	98.6754549969728	7.83404495828191	2	-2.41701360085032	0.01	199
"Butterfly species name"	0	NA	NA	NA	NA	NA	NA	199
"Colias croceus"	3	56.3825143333333	234.726423502513	48.0864461158574	2	-3.70881867084719	0.01	199
"Hemaris diffinis"	10	84.0034866	186.148577789447	33.1198942041726	1	-3.08410076915579	0.005	199
"Anthocharis cardamines"	9	41.4635464444444	191.742594628141	34.5668861214039	1	-4.34748584688521	0.005	199
