"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"Caloptilia triadicae"	2	6.87322	262.847553733668	89.6660768939659	1	-2.85475112328567	0.005	199
"Grapholita dimorpha"	2	101.466394	252.293933045226	100.516906524672	11	-1.50051910927249	0.055	199
"Phoebis sennae"	6	122.079818833333	211.430584974037	43.1167472121524	4	-2.07229839721119	0.02	199
"Megalopyge crispata"	14	104.597174928571	174.156937823762	28.7041963416769	1	-2.42333079342108	0.005	199
"Cyclidia substigmaria"	2	247.469011	259.27262339196	99.4254826875534	95	-0.118718180419128	0.475	199
"Pterodecta felderi"	0	NA	NA	NA	NA	NA	NA	199
"Melitaea cinxia"	7	118.910855142857	200.819699873654	40.712543058885	5	-2.0118822990823	0.025	199
"Psychonoctua personalis"	7	215.606312	202.036699899498	39.5087603899797	131	0.343458310677448	0.655	199
"Brahmaea hearseyi"	6	68.122361	204.876690754606	39.8306857995301	1	-3.43339129140025	0.005	199
"Amata phegea"	0	NA	NA	NA	NA	NA	NA	199
"Hyles euphorbiae"	2	35.9462	263.121064758794	104.788848506473	2	-2.16792977493938	0.01	199
"Thymelicus sylvestris"	3	31.7799273333333	234.130500671692	48.7880316837906	1	-4.14754533755023	0.005	199
"Pseudopostega quadristrigella"	2	42.9802	246.180637673367	101.178891961681	6	-2.00832835519017	0.03	199
"Pheosia gnoma"	2	88.2524	250.832675	73.6409478143466	4	-2.20774283636157	0.02	199
"Culama crepera"	2	69.0598	255.780668165829	89.523906699509	3	-2.08570956127469	0.015	199
"Sphinx pinastri"	4	75.2630075	225.525360483668	46.8750012202325	1	-3.20559678020469	0.005	199
"Lactura subfervens"	2	27.2206	263.207063070352	112.41229433305	3	-2.09929407161802	0.015	199
"Sesamia inferens"	23	41.0102233478261	145.216942441119	20.985730472094	1	-4.9655988497452	0.005	199
"Darapsa myron"	3	148.930553333333	232.567874510888	47.8169898697959	16	-1.74911305386006	0.08	199
"Therinia lactucina"	0	NA	NA	NA	NA	NA	NA	199
"Psilocorsis reflexella"	9	130.094223111111	188.603741223897	37.5831682978578	10	-1.55680110971701	0.05	199
"Triodia sylvina"	4	228.54598825	222.379386145729	48.3787952349114	110	0.127464978702515	0.55	199
"Dendrolimus pini"	6	89.8693566666667	207.907233833333	43.0110603948998	1	-2.74436101046845	0.005	199
"Thyatira batis"	2	168.6108	264.419407557789	99.4411342168334	9	-0.963470582997136	0.045	199
"Junonia coenia"	26	58.1517869230769	142.29633095632	20.2701539410845	1	-4.1511546620618	0.005	199
"Helicoverpa zea"	109	72.3907646880734	89.9096248132866	6.72247829076798	1	-2.60601215317749	0.005	199
"Spodoptera exigua"	82	81.4106128170732	99.2055181944478	8.70417652133528	5	-2.04440998338632	0.025	199
"Butterfly species name"	0	NA	NA	NA	NA	NA	NA	199
"Colias croceus"	3	56.3825143333333	234.889529177554	48.6044109552335	1	-3.67265051331725	0.005	199
"Hemaris diffinis"	10	84.0034866	186.604169974874	32.3750931438878	1	-3.16912395954743	0.005	199
"Anthocharis cardamines"	9	41.4635464444444	188.756801551647	32.7549098461897	1	-4.49682981265591	0.005	199
"Lerema accius"	10	27.3176796	180.163271088442	31.1452487236313	1	-4.90750909856988	0.005	199
"Macroglossum pyrrhosticta"	2	224.68224	268.772288276382	106.795162454976	29	-0.412846867431566	0.145	199
"Manduca sexta"	26	93.9417603846154	142.987648484152	19.0653098010591	1	-2.57251985996113	0.005	199
"Polyommatus icarus"	8	68.383595875	198.384417768216	34.3355980699291	1	-3.78618195694311	0.005	199
"Hylephila phyleus"	12	27.8812953333333	175.213952110972	30.0094207590856	1	-4.90954683732214	0.005	199
"Phyllocnistis citrella"	11	97.2111381818182	185.837456151211	31.7720589528486	2	-2.78944207238563	0.01	199
"Chilo suppressalis"	25	60.70873808	143.39767957005	20.0263156256027	1	-4.12901419491943	0.005	199
