"Species"	"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"Caloptilia triadicae"	2	6.87322	252.137777155779	84.9464115657214	1	-2.88728567381593	0.005	199
"Grapholita dimorpha"	2	101.466394	255.928185030151	102.213906273348	9	-1.51116219565152	0.045	199
"Phoebis sennae"	7	138.519473285714	202.389539180905	42.4560820225265	11	-1.50437965192601	0.055	199
"Megalopyge crispata"	14	104.597174928571	174.722837002872	31.0309145581913	3	-2.25986449554349	0.015	199
"Cyclidia substigmaria"	2	247.469011	261.181953180905	91.6596249052774	90	-0.149607225592247	0.45	199
"Pterodecta felderi"	0	NA	NA	NA	NA	NA	NA	199
"Melitaea cinxia"	7	118.910855142857	198.169235286432	40.2836176407071	6	-1.96750899709373	0.03	199
"Psychonoctua personalis"	7	215.606312	205.543342254128	40.7948576313105	117	0.246672505559838	0.585	199
"Brahmaea hearseyi"	6	68.122361	205.961148671692	44.2084902488335	1	-3.11792569472171	0.005	199
"Amata phegea"	0	NA	NA	NA	NA	NA	NA	199
"Hyles euphorbiae"	2	35.9462	260.159583638191	97.2115759342707	1	-2.3064473699078	0.005	199
"Thymelicus sylvestris"	3	31.7799273333333	233.714641005025	55.6667950536902	1	-3.62756134023752	0.005	199
"Pseudopostega quadristrigella"	2	42.9802	265.111381974874	108.056902697002	2	-2.05568710957544	0.01	199
"Pheosia gnoma"	2	88.2524	263.85527420603	100.985679887439	6	-1.73888886426037	0.03	199
"Culama crepera"	2	69.0598	249.713831115578	88.4028247209415	4	-2.04353233831434	0.02	199
"Sphinx pinastri"	4	75.2630075	227.273838273869	52.0428612093181	2	-2.92087766201933	0.01	199
"Lactura subfervens"	2	27.2206	256.673237110553	100.617044316604	3	-2.28045495342273	0.015	199
"Sesamia inferens"	24	39.3519154583333	148.631121444933	21.1007218016901	1	-5.17893212439049	0.005	199
"Darapsa myron"	3	148.930553333333	229.847671681742	51.8701814211524	19	-1.55999296959102	0.095	199
"Therinia lactucina"	0	NA	NA	NA	NA	NA	NA	199
"Psilocorsis reflexella"	9	130.094223111111	194.061293035176	35.960530265817	7	-1.77881331146193	0.035	199
"Triodia sylvina"	4	228.54598825	221.224392555276	49.2460365930429	99	0.148673806081644	0.495	199
"Dendrolimus pini"	6	89.8693566666667	213.325441318258	43.8193008185714	1	-2.81739056409746	0.005	199
"Thyatira batis"	2	168.6108	254.480834110553	84.5772086395378	9	-1.01528574295381	0.045	199
"Junonia coenia"	26	58.1517869230769	141.970815974681	18.4532206655257	1	-4.5422439026156	0.005	199
"Helicoverpa zea"	112	71.7696091339286	89.3199074614142	6.35316376201891	2	-2.76245017205546	0.01	199
"Spodoptera exigua"	83	79.7404617831325	98.7998120016952	8.53600773316017	2	-2.23281782472175	0.01	199
"Butterfly species name"	0	NA	NA	NA	NA	NA	NA	199
"Colias croceus"	3	56.3825143333333	237.057540038526	56.4859211945981	1	-3.19858509667841	0.005	199
"Hemaris diffinis"	10	84.0034866	188.015640035176	36.8537801816827	2	-2.82229266366745	0.01	199
"Anthocharis cardamines"	9	41.4635464444444	191.750943914015	34.8629611165082	1	-4.31080415020761	0.005	199
"Lerema accius"	10	27.3176796	190.696780813065	33.1942685107931	1	-4.92190695993022	0.005	199
"Macroglossum pyrrhosticta"	2	224.68224	261.771640849246	97.7203883533165	29	-0.379546187589291	0.145	199
"Manduca sexta"	26	93.9417603846154	142.481371677426	20.2352678462526	3	-2.39876297470405	0.015	199
"Polyommatus icarus"	8	68.383599625	194.686924202261	38.0357956531441	1	-3.32064368336201	0.005	199
"Hylephila phyleus"	12	27.8812953333333	177.840177093802	31.7461935993232	1	-4.72368069234183	0.005	199
"Phyllocnistis citrella"	12	107.942337	175.838026313233	27.6116125591337	2	-2.45895415082425	0.01	199
"Chilo suppressalis"	26	52.0881280769231	142.443839893699	19.8932681248762	1	-4.54202453058921	0.005	199
"Calycopis cecrops"	7	138.238391857143	201.82008211486	38.2186693956831	12	-1.66362909183067	0.06	199
"Demonarosa rufotessellata"	5	130.61608	215.735901411055	39.737542092355	4	-2.14205048750187	0.02	199
"Dyseriocrania subpurpurella"	2	23.5534	255.697317316583	85.0846634798278	1	-2.72838732413416	0.005	199
"Calledapteryx dryopterata"	2	35.0478	247.583685512563	72.5610086119624	3	-2.92906465301702	0.015	199
"Smerinthus saliceti"	2	76.07721	261.914277085427	108.331743883066	5	-1.71544424952691	0.025	199
"Axia margarita"	2	35.9462	260.159583638191	97.2115759342707	1	-2.3064473699078	0.005	199
"Saturnia pyri"	21	103.730594619048	155.799656549174	22.9578935934138	4	-2.26802436026032	0.02	199
"Pseudothyatira cymatophoroides"	14	107.466044285714	170.182517573582	27.4817578564343	2	-2.28211286976259	0.01	199
"Attacus atlas"	104	88.4685545192308	92.2149498432064	7.06471877531	62	-0.530296455262829	0.31	199
"Actias luna"	27	130.815719666667	142.986696604504	18.266750767009	57	-0.666291290283488	0.285	199
"Antaeotricha schlaegeri"	2	195.759203	269.639713537688	101.165989570518	12	-0.730290000140708	0.06	199
"Pararge aegeria"	12	36.8320345	178.020468676717	31.7080387190607	1	-4.45276465781039	0.005	199
"Bicyclus anynana"	2	187.642918	268.70825278392	110.774112383239	17	-0.731807577057919	0.085	199
"Pseudothyris sepulchralis"	2	81.11	247.52543181407	77.5709686471886	6	-2.14533136192959	0.03	199
"Polygonia c-album"	14	146.316215642857	175.260758344939	29.8814603746164	35	-0.968645519302313	0.175	199
"Heliothis virescens"	50	82.73175444	116.433929630653	12.1517902233958	2	-2.77343293219188	0.01	199
"Phaecasiophora niveiguttana"	3	253.816095666667	234.269438170854	49.1566755040992	160	0.397639939954491	0.8	199
"Cameraria ohridella"	2	18.19314	264.137132633166	99.9106640425406	1	-2.46163905515077	0.005	199
"Spodoptera frugiperda"	91	72.5886834725275	95.0081348744271	8.00823361671421	1	-2.79955012240244	0.005	199
"Cnaphalocrocis medinalis"	14	78.8458396428571	172.188925191314	28.2995284423443	1	-3.29839720610992	0.005	199
"Agathiphaga queenslandensis"	2	10.45378	252.741960371859	92.5673700788419	3	-2.61742534292048	0.015	199
"Plodia interpunctella"	48	103.317137541667	119.42656072299	13.0352369618675	26	-1.23583661949904	0.13	199
"Vitacea polistiformis"	2	81.11	247.52543181407	77.5709686471886	6	-2.14533136192959	0.03	199
"Micropterix calthella"	0	NA	NA	NA	NA	NA	NA	199
"Hemerophila diva"	2	23.8448	251.237087829146	88.2022801410259	2	-2.57807720464335	0.01	199
"Galleria mellonella"	0	NA	NA	NA	NA	NA	NA	199
"Heliconius melpomene"	2	42.893	258.929933226131	88.1349128122412	3	-2.45120720419122	0.015	199
"Maniola jurtina"	7	31.3824007142857	201.206331127782	36.662267519	1	-4.63211748497242	0.005	199
