"ntaxa"	"mpd.obs"	"mpd.rand.mean"	"mpd.rand.sd"	"mpd.obs.rank"	"mpd.obs.z"	"mpd.obs.p"	"runs"
"Caloptilia triadicae"	0	NA	NA	NA	NA	NA	NA	199
"Grapholita dimorpha"	2	101.466394	272.787829743719	114.07528242614	4	-1.50182784648939	0.02	199
"Phoebis sennae"	6	164.453035533333	256.456756537688	49.4017655625899	1	-1.86235694122694	0.005	199
"Megalopyge crispata"	14	214.650200252747	260.696303565299	33.6127787037626	1	-1.36989874352153	0.005	199
"Cyclidia substigmaria"	2	91.2206	255.516158311558	91.1103608760762	7	-1.80325878123811	0.035	199
"Pterodecta felderi"	0	NA	NA	NA	NA	NA	NA	199
"Melitaea cinxia"	7	209.851565714286	256.034321057669	43.8489106726816	4	-1.05322468984745	0.02	199
"Psychonoctua personalis"	7	238.16199552381	260.895556025365	49.2467774059465	69	-0.461625342794722	0.345	199
"Brahmaea hearseyi"	0	NA	NA	NA	NA	NA	NA	199
"Amata phegea"	0	NA	NA	NA	NA	NA	NA	199
"Hyles euphorbiae"	2	35.9462	267.347122909548	111.684338065219	1	-2.07191918686414	0.005	199
"Thymelicus sylvestris"	3	37.0422673333333	265.699712217755	82.2643639986625	1	-2.77954431019657	0.005	199
"Pseudopostega quadristrigella"	2	42.9802	248.660909301508	85.9523534115977	5	-2.39296192759924	0.025	199
"Pheosia gnoma"	2	88.2524	249.946360668342	80.8881657302548	5	-1.99898167066314	0.025	199
"Culama crepera"	0	NA	NA	NA	NA	NA	NA	199
"Sphinx pinastri"	4	79.2327983333333	267.891639691792	75.2012322480735	2	-2.5087200796938	0.01	199
"Lactura subfervens"	2	27.2206	258.597467050251	103.546480919269	2	-2.23452178187154	0.01	199
"Sesamia inferens"	24	102.444796974638	258.497003437113	26.3105906930235	1	-5.93115556709467	0.005	199
"Darapsa myron"	3	198.199973333333	260.89974638526	74.9215194537168	15	-0.836872683697498	0.075	199
"Therinia lactucina"	0	NA	NA	NA	NA	NA	NA	199
"Psilocorsis reflexella"	9	212.996077055556	258.473622118649	42.1695043718237	3	-1.07844627866862	0.015	199
"Triodia sylvina"	1	NA	NA	NA	NA	NA	NA	199
"Dendrolimus pini"	6	134.217565333333	265.762208493132	58.2839025062123	1	-2.25696354402106	0.005	199
"Thyatira batis"	2	168.6108	266.99501941206	113.383852227267	14	-0.867709267937538	0.07	199
"Junonia coenia"	26	112.870577541538	258.730605200201	24.1472477690298	1	-6.04044109100235	0.005	199
