"Species"	"ntaxa"	"mpd.obs"	"mpd.rand.mean"	"mpd.rand.sd"	"mpd.obs.rank"	"mpd.obs.z"	"mpd.obs.p"	"runs"
"Caloptilia triadicae"	2	6.87322	251.959918939698	87.0805987736445	1	-2.81448109442577	0.005	199
"Grapholita dimorpha"	2	101.466394	248.733631427136	77.5499944139636	7	-1.89899739568026	0.035	199
"Phoebis sennae"	7	185.225801904762	256.512636232113	44.6269288963903	2	-1.59739502785093	0.01	199
"Megalopyge crispata"	14	214.650200252747	258.358328945607	31.6763264357264	2	-1.37983578309016	0.01	199
"Cyclidia substigmaria"	2	247.469011	251.477436663317	92.2561704926356	103	-0.0434488624653736	0.515	199
"Pterodecta felderi"	0	NA	NA	NA	NA	NA	NA	199
"Melitaea cinxia"	7	209.851565714286	258.881404959081	45.4134211230205	4	-1.07963324568696	0.02	199
"Psychonoctua personalis"	7	238.16199552381	254.550408280928	45.5044922777778	79	-0.360149337719833	0.395	199
"Brahmaea hearseyi"	6	105.683596	255.284655642546	46.24750102574	1	-3.2347922876802	0.005	199
"Amata phegea"	0	NA	NA	NA	NA	NA	NA	199
"Hyles euphorbiae"	2	35.9462	273.854603251256	119.243911061866	3	-1.99514089342327	0.015	199
"Thymelicus sylvestris"	3	37.0422673333333	259.879496860972	82.6452633561911	1	-2.69630975180316	0.005	199
"Pseudopostega quadristrigella"	2	42.9802	256.922238492462	105.172539315119	2	-2.03420056115073	0.01	199
"Pheosia gnoma"	2	88.2524	258.754104859296	103.853913513555	6	-1.64174559331404	0.03	199
"Culama crepera"	2	69.0598	256.864933407035	90.465611262164	6	-2.07598368912566	0.03	199
"Sphinx pinastri"	4	79.2327983333333	249.93087170603	50.7791910754106	1	-3.36157527833003	0.005	199
"Lactura subfervens"	2	27.2206	261.873510582915	102.468850901831	2	-2.28999260280298	0.01	199
"Sesamia inferens"	24	102.444796974638	260.804594176881	24.8480627704815	1	-6.37312448318377	0.005	199
"Darapsa myron"	3	198.199973333333	253.782343316583	66.0986150709338	15	-0.840900674297052	0.075	199
"Therinia lactucina"	0	NA	NA	NA	NA	NA	NA	199
"Psilocorsis reflexella"	9	212.996077055556	252.542023065885	35.6911475197576	7	-1.10800433044183	0.035	199
"Triodia sylvina"	4	239.231363833333	262.810332931323	67.7110533571187	77	-0.348229246614002	0.385	199
"Dendrolimus pini"	6	134.217565333333	256.948710255276	48.3959125510556	1	-2.53598162432555	0.005	199
"Thyatira batis"	2	168.6108	255.148698095477	77.4987857524075	8	-1.11663553506436	0.04	199
"Junonia coenia"	26	112.870577541538	258.268831367499	23.9880341889292	1	-6.06128258284139	0.005	199
"Helicoverpa zea"	112	236.026195582046	258.291925509487	10.0662055908478	2	-2.21192878751497	0.01	199
"Spodoptera exigua"	83	244.054544675287	257.514746216336	13.572895201321	33	-0.9916971538791	0.165	199
"Butterfly species name"	0	NA	NA	NA	NA	NA	NA	199
"Colias croceus"	3	77.6177286666667	258.42781278057	74.5600726544618	1	-2.4250255891225	0.005	199
"Hemaris diffinis"	10	195.721706622222	255.959421582468	39.5082280152921	1	-1.52468784317358	0.005	199
"Anthocharis cardamines"	9	51.3994218888889	261.464950932719	44.2700760651607	1	-4.74509076367154	0.005	199
"Lerema accius"	10	44.4070274	265.891017496482	44.4263506439324	1	-4.98541939381041	0.005	199
"Macroglossum pyrrhosticta"	2	224.68224	249.82393298995	81.960804068442	37	-0.306752639578243	0.185	199
"Manduca sexta"	26	176.685415332308	258.703517924654	23.3661271244135	1	-3.5101282362986	0.005	199
"Polyommatus icarus"	8	104.447180642857	260.450712005922	45.2023434941792	1	-3.45122662463627	0.005	199
"Hylephila phyleus"	12	53.1185357424242	263.995858770824	39.6622618319584	1	-5.31682544787404	0.005	199
"Phyllocnistis citrella"	12	204.302696606061	259.541511585732	37.7879619192472	1	-1.46180985091803	0.005	199
"Chilo suppressalis"	26	148.260524732308	261.803550466394	26.0932949449472	1	-4.3514253747426	0.005	199
"Calycopis cecrops"	7	203.499093809524	259.722381505145	45.4948653907891	1	-1.23581611271244	0.005	199
"Demonarosa rufotessellata"	5	196.6416524	263.783246177889	58.5234775180568	6	-1.14725912788032	0.03	199
"Dyseriocrania subpurpurella"	2	23.5534	261.249952442211	102.579785076432	2	-2.31718707799109	0.01	199
"Calledapteryx dryopterata"	2	35.0478	248.893219256281	81.2366041027999	1	-2.63237762850935	0.005	199
"Smerinthus saliceti"	2	76.07721	257.812778658291	93.3277249338855	4	-1.94728381932631	0.02	199
"Axia margarita"	2	35.9462	273.854603251256	119.243911061866	3	-1.99514089342327	0.015	199
"Saturnia pyri"	21	223.39349287619	258.678477518641	25.8237292983163	1	-1.36637835050226	0.005	199
"Pseudothyatira cymatophoroides"	14	198.500628747253	258.274378995361	33.008861429582	1	-1.81083950367765	0.005	199
"Attacus atlas"	104	238.432093773898	257.985049428524	11.3697128165134	8	-1.71974050445909	0.04	199
"Actias luna"	27	228.151924410256	256.797711298888	20.227732357796	1	-1.41616402580049	0.005	199
"Antaeotricha schlaegeri"	2	195.759203	254.849169075377	106.539456211527	25	-0.554629882454604	0.125	199
