"PD"	"SR"
"Caloptilia triadicae"	328.487301	2
"Grapholita dimorpha"	375.784036	2
"Phoebis sennae"	664.51408	6
"Megalopyge crispata"	1254.785921	14
"Cyclidia substigmaria"	448.784963	2
"Pterodecta felderi"	0	0
"Melitaea cinxia"	786.773058	7
"Psychonoctua personalis"	1002.864904	7
"Brahmaea hearseyi"	520.65041	6
"Amata phegea"	0	0
"Hyles euphorbiae"	343.023751	2
"Thymelicus sylvestris"	359.461879	3
"Pseudopostega quadristrigella"	346.540962	2
"Pheosia gnoma"	369.176758	2
"Culama crepera"	359.580675	2
"Sphinx pinastri"	440.55981	4
"Lactura subfervens"	338.660814	2
"Sesamia inferens"	908.385071	23
"Darapsa myron"	498.615912	3
"Therinia lactucina"	0	0
"Psilocorsis reflexella"	995.331747	9
"Triodia sylvina"	675.401073	4
"Dendrolimus pini"	582.91108	6
"Thyatira batis"	409.356259	2
"Junonia coenia"	1212.726828	26
"Helicoverpa zea"	5694.72719	109
"Spodoptera exigua"	4716.220406	82
"Butterfly species name"	0	0
"Colias croceus"	392.050587	3
"Hemaris diffinis"	895.66234	10
"Anthocharis cardamines"	505.641718	9
"Lerema accius"	469.586956	10
"Macroglossum pyrrhosticta"	437.391692	2
"Manduca sexta"	1718.258309	26
"Polyommatus icarus"	589.296315	8
"Hylephila phyleus"	528.564827	12
"Phyllocnistis citrella"	958.547187	11
"Chilo suppressalis"	1239.700859	25
"Calycopis cecrops"	808.085329	7
"Demonarosa rufotessellata"	647.403285	5
"Dyseriocrania subpurpurella"	336.827369	2
"Calledapteryx dryopterata"	342.574332	2
"Smerinthus saliceti"	363.089252	2
"Axia margarita"	343.023751	2
"Saturnia pyri"	1740.212813	21
"Pseudothyatira cymatophoroides"	1201.293824	14
"Attacus atlas"	6700.099031	103
"Actias luna"	2468.453476	27
"Antaeotricha schlaegeri"	422.930215	2
"Pararge aegeria"	499.958527	11
"Bicyclus anynana"	418.87222	2
"Pseudothyris sepulchralis"	365.605832	2
"Polygonia c-album"	1429.810517	14
"Heliothis virescens"	3044.73278	50
"Phaecasiophora niveiguttana"	583.369152	3
"Cameraria ohridella"	334.147264	2
"Spodoptera frugiperda"	4754.235412	89
"Cnaphalocrocis medinalis"	919.275307	14
"Agathiphaga queenslandensis"	330.27708	2
"Plodia interpunctella"	3758.611559	47
"Vitacea polistiformis"	365.605832	2
"Micropterix calthella"	0	0
"Hemerophila diva"	336.973303	2
"Galleria mellonella"	0	0
"Heliconius melpomene"	346.497162	2
"Maniola jurtina"	427.312167	7
"Pterophorus pentadactyla"	406.280297	3
"Urbanus proteus"	1098.036618	18
"Parum colligata"	342.470603	2
"Phragmatobia fuliginosa"	1997.920266	24
"Xylophanes tersa"	1337.016998	16
"Acrocercops transecta"	540.737832	5
"Cydia pomonella"	977.800361	13
"Archaeoses polygrapha"	329.794192	2
"Telchin licus"	431.784798	2
"Palaeagapetus nearcticus"	0	0
"Prionoxystus robiniae"	1554.95293	15
"Phyllodes eyndhovii"	332.494658	2
"Megathymus yuccae"	327.227582	2
"Yponomeuta evonymellus"	338.157942	2
"Striglina suzukii"	331.678264	2
"Phymatopus californicus"	471.77428	3
"Parides eurimedes"	349.61411	2
"Nemophora degeerella"	369.176758	2
"Bombyx mori"	448.785622	2
"Thyridopteryx ephemeraeformis"	6720.593681	92
"Macaria distribuaria"	335.94056	2
"Enteucha acetosae"	333.971102	2
"Eudocima salaminia"	920.442996	8
"Euproctis chrysorrhoea"	3102.423123	41
"Bombyx mandarina"	777.474617	5
"Zygaena fausta"	329.917504	2
"Lymantria dispar"	6312.41315	79
"Papilio machaon"	1333.843394	38
"Synemon plana"	335.463066	2
"Amphipyra pyramidea"	909.987323	9
"Philodoria splendida"	338.874342	2
"Acanthopteroctetes unifascia"	329.515292	2
"Plutella xylostella"	1641.873629	22
"Mania lunus"	443.629852	2
"Podosesia syringae"	506.115591	6
"Leucoptera coffeella"	328.057982	2
"Epicopeia hainesii"	372.760782	2
"Striacosta albicosta"	616.675402	5
"Hebomoia glaucippe"	430.905728	4
"Amyelois transitella"	2703.903709	33
"Lantanophaga pusillidactyla"	559.635181	4
"Papilio glaucus"	2235.145867	29
"Agrotis infusa"	1288.156581	9
"Hemiargus ceraunus"	965.167234	15
"Tegeticula yuccasella"	327.227582	2
"Danaus plexippus"	987.130605	18
"Biston betularia"	4463.28925	55
"Ascia monuste"	1057.145486	17
"Helicopsyche borealis"	0	0
"Morpheis pyracmon"	654.878449	5
"Manoba major"	351.402695	2
"Mythimna separata"	379.835247	3
"Mustilizans dierli"	436.19938	2
"Bembecia ichneumoniformis"	424.925983	4
"Lyssa zampa"	443.629791	2
"Tineola bisselliella"	0	0
"Tuta absoluta"	336.249001	2
"Bucculatrix cristatella"	347.230985	4
"Dalcera abrasa"	1306.749224	10
"Emmelina monodactyla"	981.024503	13
"Ectropis obliqua"	1750.133695	16
"Luehdorfia chinensis"	331.01063	2
"Tridrepana flava"	330.686152	2
"Hyposmocoma kahamanoa"	0	0
"Lacosoma chiridota"	336.827369	2
"Catoptria falsella"	0	0
"Stigmella atricapitella"	336.827369	2
"Hemileuca maia"	1482.420708	15
"Operophtera brumata"	2485.506656	31
"Coptotriche citrinipennella"	0	0
"Enyo lugubris"	803.170296	7
"Nemoria lixaria"	541.509337	3
"Alucita desmodactyla"	339.33936	2
