Butterfly species name,Host family,Host genus,Genus_from_reference
Acanthopteroctetes unifascia,Rhamnaceae,Ceanothus,
Acrocercops transecta,Juglandaceae,Carya,
Acrocercops transecta,Juglandaceae,Juglans,
Acrocercops transecta,Ericaceae,Lyonia,
Acrocercops transecta,Juglandaceae,Platycarya,
Acrocercops transecta,Juglandaceae,Pterocarya,
Actias luna,Sapindaceae,Acer,
Actias luna,Aceraceae,Acer,
Actias luna,Sapindaceae,Aesculus,
Actias luna,Hippocastanaceae,Aesculus,
Actias luna,Betulaceae,Alnus,
Actias luna,Rosaceae,Amelanchier,
Actias luna,Betulaceae,Betula,
Actias luna,Betulaceae,Carpinus,
Actias luna,Corylaceae,Carpinus,
Actias luna,Juglandaceae,Carya,
Actias luna,Fagaceae,Castanea,
Actias luna,Betulaceae,Corylus,
Actias luna,Corylaceae,Corylus,
Actias luna,Ebenaceae,Diospyros,
Actias luna,Fagaceae,Fagus,
Actias luna,Cannabaceae,Humulus,
Actias luna,Juglandaceae,Juglans,
Actias luna,Altingiaceae,Liquidambar,
Actias luna,Hamamelidaceae,Liquidambar,
Actias luna,Magnoliaceae,Liriodendron,
Actias luna,Lythraceae,Lythrum,
Actias luna,Cornaceae,Nyssa,
Actias luna,Betulaceae,Ostrya,
Actias luna,Corylaceae,Ostrya,
Actias luna,Platanaceae,Platanus,
Actias luna,Salicaceae,Populus,
Actias luna,Rosaceae,Prunus,
Actias luna,Fagaceae,Quercus,
Actias luna,Anacardiaceae,Rhus,
Actias luna,Fabaceae,Robinia,
Actias luna,Salicaceae,Salix,
Actias luna,Sabiaceae,Salix,
Actias luna,Malvaceae,Tilia,
Actias luna,Ulmaceae,Tilia,
Actias luna,Tiliaceae,Tilia,
Actias luna,Ulmaceae,Ulmus,
Agathiphaga queenslandensis,Araucariaceae,Agathis,
Agrotis infusa,Amaranthaceae,Beta,
Agrotis infusa,Chenopodiaceae,Beta,
Agrotis infusa,Brassicaceae,Brassica,
Agrotis infusa,Poaceae,Hordeum,
Agrotis infusa,Linaceae,Linum,
Agrotis infusa,Fabaceae,Medicago,
Agrotis infusa,Pinaceae,Pinus,
Agrotis infusa,Fabaceae,Pisum,
Agrotis infusa,Solanaceae,Solanum,
Agrotis infusa,Poaceae,Triticum,
Alucita desmodactyla,Lamiaceae,Ballota,
Alucita desmodactyla,Lamiaceae,Stachys,
Amata phegea,Poaceae,xxx,N
Amphipyra pyramidea,Oleaceae,Fraxinus,
Amphipyra pyramidea,Oleaceae,Ligustrum,
Amphipyra pyramidea,Caprifoliaceae,Lonicera,
Amphipyra pyramidea,Rosaceae,Malus,
Amphipyra pyramidea,Fagaceae,Quercus,
Amphipyra pyramidea,Ericaceae,Rhododendron,
Amphipyra pyramidea,Rosaceae,Rosa,
Amphipyra pyramidea,Rosaceae,Sorbus,
Amphipyra pyramidea,Oleaceae,Syringa,
Amyelois transitella,Fabaceae,Acacia,
Amyelois transitella,Sapindaceae,Aesculus,
Amyelois transitella,Hippocastanaceae,Aesculus,
Amyelois transitella,Annonaceae,Annona,
Amyelois transitella,Fabaceae,Caesalpinia,
Amyelois transitella,Fabaceae,Cajanus,
Amyelois transitella,Rubiaceae,Casasia,
Amyelois transitella,Fabaceae,Cassia,
Amyelois transitella,Rutaceae,Citrus,
Amyelois transitella,Rubiaceae,Coffea,
Amyelois transitella,Rosaceae,Cydonia,
Amyelois transitella,Moraceae,Ficus,
Amyelois transitella,Capparaceae,Forchhammeria,
Amyelois transitella,Rubiaceae,Genipa,
Amyelois transitella,Fabaceae,Gleditsia,
Amyelois transitella,Fabaceae,Hymenaea,
Amyelois transitella,Juglandaceae,Juglans,
Amyelois transitella,Chrysobalanaceae,Licania,
Amyelois transitella,Rosaceae,Malus,
Amyelois transitella,Anacardiaceae,Mangifera,
Amyelois transitella,Paeoniaceae,Paeonia,
Amyelois transitella,Arecaceae,Phoenix,
Amyelois transitella,Anacardiaceae,Pistacia,
Amyelois transitella,Fabaceae,Pithecellobium,
Amyelois transitella,Rosaceae,Prunus,
Amyelois transitella,Lythraceae,Punica,
Amyelois transitella,Rosaceae,Pyrus,
Amyelois transitella,Rubiaceae,Randia,
Amyelois transitella,Fabaceae,Robinia,
