Acanthopteroctetes unifascia	1
Nemophora degeerella	1
Agathiphaga queenslandensis	1
Alucita desmodactyla	2
Bombyx mandarina	1
Bombyx mori	2
Brahmaea hearseyi	1
Bucculatrix cristatella	1
Pterodecta felderi	1
Synemon plana	1
Telchin licus	1
Hemerophila diva	1
Axia margarita	1
Hyposmocoma kahamanoa	1
Archaeoses polygrapha	1
Culama crepera	1
Morpheis pyracmon	5
Prionoxystus robiniae	13
Psychonoctua personalis	7
Catoptria falsella	2
Chilo suppressalis	20
Cnaphalocrocis medinalis	15
Dalcera abrasa	7
Antaeotricha schlaegeri	2
Psilocorsis reflexella	9
Cyclidia substigmaria	1
Pseudothyatira cymatophoroides	14
Thyatira batis	1
Tridrepana flava	1
Mustilizans dierli	1
Epicopeia hainesii	1
Amata phegea	1
Eudocima salaminia	9
Euproctis chrysorrhoea	43
Lymantria dispar	81
Phragmatobia fuliginosa	21
Phyllodes eyndhovii	1
Dyseriocrania subpurpurella	1
Tuta absoluta	1
Biston betularia	55
Ectropis obliqua	16
Macaria distribuaria	1
Nemoria lixaria	2
Operophtera brumata	32
Acrocercops transecta	5
Caloptilia triadicae	1
Cameraria ohridella	1
Philodoria splendida	1
Phyllocnistis citrella	14
Helicopsyche borealis	1
Phymatopus californicus	2
Triodia sylvina	2
Hylephila phyleus	13
Lerema accius	10
Megathymus yuccae	1
Thymelicus sylvestris	4
Urbanus proteus	19
Palaeagapetus nearcticus	1
Lactura subfervens	1
Dendrolimus pini	6
Demonarosa rufotessellata	1
Calycopis cecrops	8
Hemiargus ceraunus	15
Polyommatus icarus	8
Leucoptera coffeella	1
Megalopyge crispata	15
Micropterix calthella	1
Lacosoma chiridota	1
Enteucha acetosae	1
Stigmella atricapitella	1
Agrotis infusa	10
Amphipyra pyramidea	8
Helicoverpa zea	112
Heliothis virescens	51
Mythimna separata	1
Sesamia inferens	25
Spodoptera exigua	84
Spodoptera frugiperda	92
Striacosta albicosta	1
Manoba major	1
Pheosia gnoma	1
Bicyclus anynana	2
Danaus plexippus	19
Heliconius melpomene	2
Junonia coenia	27
Maniola jurtina	8
Melitaea cinxia	7
Pararge aegeria	13
Polygonia c-album	14
Pseudopostega quadristrigella	1
Luehdorfia chinensis	1
Papilio glaucus	31
Papilio machaon	39
Parides eurimedes	1
Anthocharis cardamines	10
Ascia monuste	18
Colias croceus	3
Hebomoia glaucippe	4
Phoebis sennae	7
Plutella xylostella	23
Tegeticula yuccasella	1
Thyridopteryx ephemeraeformis	93
Emmelina monodactyla	14
Lantanophaga pusillidactyla	4
Pterophorus pentadactyla	3
Amyelois transitella	34
Galleria mellonella	2
Plodia interpunctella	49
Actias luna	28
Attacus atlas	104
Hemileuca maia	16
Saturnia pyri	22
Therinia lactucina	1
Mania lunus	1
Bembecia ichneumoniformis	5
Podosesia syringae	7
Vitacea polistiformis	1
Darapsa myron	4
Enyo lugubris	7
Hemaris diffinis	10
Hyles euphorbiae	1
Macroglossum pyrrhosticta	2
Manduca sexta	27
Parum colligata	1
Smerinthus saliceti	2
Sphinx pinastri	4
Xylophanes tersa	15
Pseudothyris sepulchralis	1
Striglina suzukii	1
Tineola bisselliella	1
Coptotriche citrinipennella	1
Cydia pomonella	14
Grapholita dimorpha	2
Phaecasiophora niveiguttana	3
Calledapteryx dryopterata	1
Lyssa zampa	2
Yponomeuta evonymellus	1
Zygaena fausta	1
