Acanthopteroctetes unifascia,1,Acanthopteroctetes,unifascia,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Acanthopteroctetes&with&Species=unifascia
Nemophora degeerella,0,Nemophora,degeerella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Nemophora&with&Species=degeerella
Agathiphaga queenslandensis,2,Agathiphaga,queenslandensis,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Agathiphaga&with&Species=queenslandensis
Alucita desmodactyla,3,Alucita,desmodactyla,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Alucita&with&Species=desmodactyla
Bombyx mandarina,1,Bombyx,mandarina,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Bombyx&with&Species=mandarina
Bombyx mori,8,Bombyx,mori,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Bombyx&with&Species=mori
Brahmaea hearseyi,0,Brahmaea,hearseyi,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Brahmaea&with&Species=hearseyi
Bucculatrix cristatella,3,Bucculatrix,cristatella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Bucculatrix&with&Species=cristatella
Pterodecta felderi,0,Pterodecta,felderi,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Pterodecta&with&Species=felderi
Synemon plana,1,Synemon,plana,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Synemon&with&Species=plana
Telchin licus,0,Telchin,licus,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Telchin&with&Species=licus
Hemerophila diva,2,Hemerophila,diva,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Hemerophila&with&Species=diva
Axia margarita,0,Axia,margarita,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Axia&with&Species=margarita
Hyposmocoma kahamanoa,0,Hyposmocoma,kahamanoa,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Hyposmocoma&with&Species=kahamanoa
Archaeoses polygrapha,1,Archaeoses,polygrapha,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Archaeoses&with&Species=polygrapha
Culama crepera,0,Culama,crepera,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Culama&with&Species=crepera
