Caloptilia triadicae	1
Grapholita dimorpha	2
Phoebis sennae	7
Megalopyge crispata	14
Cyclidia substigmaria	2
Pterodecta felderi	1
Melitaea cinxia	7
Psychonoctua personalis	7
Brahmaea hearseyi	6
Amata phegea	1
Hyles euphorbiae	1
Thymelicus sylvestris	3
Pseudopostega quadristrigella	1
Pheosia gnoma	1
Culama crepera	1
Sphinx pinastri	4
Lactura subfervens	1
Sesamia inferens	24
Darapsa myron	3
Therinia lactucina	1
Psilocorsis reflexella	9
Triodia sylvina	5
Dendrolimus pini	6
Thyatira batis	1
Junonia coenia	26
Helicoverpa zea	112
Spodoptera exigua	83
Butterfly species name	1
Colias croceus	3
Hemaris diffinis	10
Anthocharis cardamines	9
Lerema accius	10
Macroglossum pyrrhosticta	2
Manduca sexta	26
Polyommatus icarus	8
Hylephila phyleus	12
Phyllocnistis citrella	12
Chilo suppressalis	26
Calycopis cecrops	7
Demonarosa rufotessellata	5
Dyseriocrania subpurpurella	1
Calledapteryx dryopterata	1
Smerinthus saliceti	2
Axia margarita	1
Saturnia pyri	21
Pseudothyatira cymatophoroides	14
Attacus atlas	104
Actias luna	27
Antaeotricha schlaegeri	2
Pararge aegeria	12
Bicyclus anynana	2
Pseudothyris sepulchralis	1
Polygonia c-album	14
Heliothis virescens	50
Phaecasiophora niveiguttana	3
Cameraria ohridella	1
Spodoptera frugiperda	91
Cnaphalocrocis medinalis	14
Agathiphaga queenslandensis	1
Plodia interpunctella	48
Vitacea polistiformis	1
Micropterix calthella	1
Hemerophila diva	1
Galleria mellonella	1
Heliconius melpomene	1
Maniola jurtina	7
Pterophorus pentadactyla	3
Urbanus proteus	19
Parum colligata	1
Phragmatobia fuliginosa	24
Xylophanes tersa	16
Acrocercops transecta	5
Cydia pomonella	13
Archaeoses polygrapha	1
Telchin licus	3
Palaeagapetus nearcticus	1
Prionoxystus robiniae	15
Phyllodes eyndhovii	1
Megathymus yuccae	1
Yponomeuta evonymellus	1
Striglina suzukii	1
Phymatopus californicus	3
Parides eurimedes	1
Nemophora degeerella	1
Bombyx mori	2
Thyridopteryx ephemeraeformis	93
Macaria distribuaria	1
Enteucha acetosae	1
Eudocima salaminia	8
Euproctis chrysorrhoea	42
Bombyx mandarina	5
Zygaena fausta	1
Lymantria dispar	81
Papilio machaon	38
Synemon plana	2
Amphipyra pyramidea	9
Philodoria splendida	1
Acanthopteroctetes unifascia	1
Plutella xylostella	22
Mania lunus	2
Podosesia syringae	6
Leucoptera coffeella	1
Epicopeia hainesii	1
Striacosta albicosta	5
Hebomoia glaucippe	4
Amyelois transitella	33
Lantanophaga pusillidactyla	4
Papilio glaucus	30
Agrotis infusa	9
Hemiargus ceraunus	15
Tegeticula yuccasella	1
Danaus plexippus	18
Biston betularia	55
Ascia monuste	17
Helicopsyche borealis	1
Morpheis pyracmon	5
Manoba major	1
Mythimna separata	3
Mustilizans dierli	2
Bembecia ichneumoniformis	4
Lyssa zampa	2
Tineola bisselliella	1
Tuta absoluta	1
Bucculatrix cristatella	4
Dalcera abrasa	10
Emmelina monodactyla	13
Ectropis obliqua	16
Luehdorfia chinensis	1
Tridrepana flava	1
Hyposmocoma kahamanoa	1
Lacosoma chiridota	1
Catoptria falsella	2
Stigmella atricapitella	1
Hemileuca maia	15
Operophtera brumata	31
Coptotriche citrinipennella	1
Enyo lugubris	7
Nemoria lixaria	3
Alucita desmodactyla	2
