Seq_ID,OR_GR_hits,,,,,,
Trinity_Tyu4.fa,,Lepidoptera,Adeloidea,Prodoxidae,Tegeticula,yuccasella,Tyu4
Trinity_Aga3_plus_Aga5.fa,,Lepidoptera,Agathiphagoidea,Agathiphagidae,Agathiphaga,queenslandensis,Aga3
CLEAN_acti2.fa,0,Lepidoptera,Bombycoidea,Saturniidae,Actias,luna,acti2
CLEAN_Attac.fa,2,Lepidoptera,Bombycoidea,Saturniidae,Attacus,atlas,Attac
CLEAN_AZ130010T.fa,0,Lepidoptera,Bombycoidea,Sphingidae,Smerinthus,saliceti,AZ130010T
CLEAN_BuckH.fa,1,Lepidoptera,Bombycoidea,Saturniidae,Hemileuca,maia,BuckH
CLEAN_cunda3.fa,2,Lepidoptera,Bombycoidea,Sphingidae,Ceratomia,undulosa,cunda3
CLEAN_Dara.fa,2,Lepidoptera,Bombycoidea,Sphingidae,Darapsa,myron,Dara
CLEAN_elug1.fa,1,Lepidoptera,Bombycoidea,Sphingidae,Enyo,lugubris,elug1
CLEAN_FG12-0013.fa,7,Lepidoptera,Bombycoidea,Bombycidae,Colla,micacea,FG120013
CLEAN_FG12-0016.fa,3,Lepidoptera,Bombycoidea,Saturniidae,Therinia,lactucina,FG120016
CLEAN_final_soap_SW130200T.fa,0,Lepidoptera,Bombycoidea,Eupterotidae,Eupterote,muluana,SW130200T
CLEAN_Hema2.fa,1,Lepidoptera,Bombycoidea,Sphingidae,Hemaris,diffinis,Hema2
CLEAN_MacrH.fa,0,Lepidoptera,Bombycoidea,Sphingidae,Macroglossum,pyrrhosticta,MacrH
CLEAN_V005T.fa,0,Lepidoptera,Bombycoidea,Sphingidae,Parum,colligata,V005T
final_soap_FG120036B.fa,1,Lepidoptera,Bombycoidea,Bombycidae,Apatelodes,pithala,FG120036B
final_soap_FG120049B.fa,3,Lepidoptera,Bombycoidea,Sphingidae,Adhemarius,daphne,FG120049B
final_soap_FG120096B.fa,1,Lepidoptera,Bombycoidea,Saturniidae,Eacles,sp.,FG120096B
final_soap_Xter2.fa,1,Lepidoptera,Bombycoidea,Sphingidae,Xylophanes,tersa,Xter2
Manduca_sexta.fa,0,Lepidoptera,Bombycoidea,Sphingidae,Manduca,sexta,rManduca_sexta
Trinity_Cor5.fa,,Lepidoptera,Choreutoidea,Choreutidae,Hemerophila,diva,Cor5
Trinity_Arc.fa,,Lepidoptera,Cossoidea,Dudgeoneidae,Archaeoses,polygrapha,Arc
Trinity_Cul2.fa,,Lepidoptera,Cossoidea,Cossidae,Culama,sp.,Cul2
Trinity_Giv2.fa,,Lepidoptera,Cossoidea,Cossidae,Givira,mucida,Giv2
Trinity_Mar.fa,,Lepidoptera,Cossoidea,Cossidae,Spinulata,maruga,Mar
Trinity_Ppr2.fa,,Lepidoptera,Cossoidea,Cossidae,Psychonoctua,personalis,Ppr2
Trinity_Prob2.fa,,Lepidoptera,Cossoidea,Cossidae,Prionoxystus,robiniae,Prob2
SW130064_CLEAN.fa,4,Lepidoptera,Drepanoidea,Drepanidae,Tridrepana,flava,SW130064
Trinity_Ax.fa,50,Lepidoptera,Drepanoidea,Cimeliidae,Axia,margarita,Ax
Trinity_Dcy.fa,10,Lepidoptera,Drepanoidea,Drepanidae,Cyclidia,substigmaria,Dcy
Trinity_Do2.fa,17,Lepidoptera,Drepanoidea,Doidae,Doa,sp.,Do2
Trinity_PC.fa,4,Lepidoptera,Drepanoidea,Drepanidae,Pseudothyatira,cymatophoroides,PC
final_soap_SRR2846714.fa,13,Lepidoptera,Gelechioidea,Gelechiidae,Tuta,absoluta,SRR2846714
Trinity_Ant.fa,18,Lepidoptera,Gelechioidea,Depressariidae,Antaeotricha,schlaegeri,Ant
Trinity_Dch.fa,11,Lepidoptera,Gelechioidea,Gelechiidae,Dichomeris,punctidiscella,Dch
Trinity_Psi.fa,3,Lepidoptera,Gelechioidea,Depressariidae,Psilocorsis,reflexella,Psi
final_soap_GNV120029.fa,4,Lepidoptera,Geometroidea,Geometridae,Macaria,distribuaria,GNV120029
final_soap_GNV120032.fa,1,Lepidoptera,Geometroidea,Geometridae,Nemoria,lixaria,GNV120032
final_soap_SRR3056076.fa,1,Lepidoptera,Geometroidea,Geometridae,Ectropis,obliqua,SRR3056076
Trinity_Bb.fa,15,Lepidoptera,Geometroidea,Geometridae,Biston,betularia,Bb
Trinity_Cal.fa,5,Lepidoptera,Geometroidea,Uraniidae,Calledapteryx,dryopterata,Cal
Trinity_Chl.fa,5,Lepidoptera,Geometroidea,Geometridae,Chlorosea,margaretaria,Chl
Trinity_Epc3.fa,9,Lepidoptera,Geometroidea,Epicopeiidae,Epicopeia,hainseii,Epc3
